2883;Falco cyaneus;Falco cyaneus Linnaeus, 1766;Busard Saint-Martin;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
836343;Circus hudsonius;Circus hudsonius (Linnaeus, 1766);;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
418714;Circus macrosceles;Circus macrosceles Newton, 1863;Busard de Madagascar;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2886;Accipiter macrourus;Accipiter macrourus Gmelin, 1771;Busard pâle;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2884;Circus macrourus;Circus macrourus (S. G. Gmelin, 1771);Busard pâle;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
432596;Circus maillardi;Circus maillardi J. Verreaux, 1862;Busard de Maillard;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2887;Circus pygargus;Circus pygargus (Linnaeus, 1758);Busard cendré;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2889;Falco pygargus;Falco pygargus Linnaeus, 1758;Busard cendré;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2641;Aquila clanga;Aquila clanga Pallas, 1811;Aigle criard;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
836346;Clanga clanga;Clanga clanga (Pallas, 1811);Aigle criard;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2636;Aquila pomarina;Aquila pomarina C. L. Brehm, 1831;Aigle pomarin;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
836345;Clanga pomarina;Clanga pomarina (C. L. Brehm, 1831);Aigle pomarin;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441888;Elanoides forficatus;Elanoides forficatus (Linnaeus, 1758);Milan à queue fourchue, Naucler à queue fourchue;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
828914;Falco forficatus;Falco forficatus Linnaeus, 1758;Milan à queue fourchue, Naucler à queue fourchue;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
828916;Elanoides forficatus yetapa;Elanoides forficatus yetapa (Vieillot, 1818);;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
828920;Milvus yetapa;Milvus yetapa Vieillot, 1818;;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2836;Elanus caeruleus;Elanus caeruleus (Desfontaines, 1789);Élanion blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2838;Falco caeruleus;Falco caeruleus Desfontaines, 1789;Élanion blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
441889;Elanus leucurus;Elanus leucurus Vieillot, 1818;Élanion à queue blanche ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441944;Gampsonyx swainsonii;Gampsonyx swainsonii Vigors, 1825;Élanion perle ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441696;Buteo albicaudatus;Buteo albicaudatus Vieillot, 1816;Buse à queue blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
720247;Geranoaetus albicaudatus;Geranoaetus albicaudatus (Vieillot, 1816);Buse à queue blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
828824;Geranoaetus albicaudatus colonus;Geranoaetus albicaudatus colonus Berlepsch, 1892;;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441950;Geranospiza caerulescens;Geranospiza caerulescens (Vieillot, 1817);Buse échasse ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2852;Gypaetus barbatus;Gypaetus barbatus (Linnaeus, 1758);Gypaète barbu;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2854;Vultur barbatus;Vultur barbatus Linnaeus, 1758;Gypaète barbu;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2860;Gyps fulvus;Gyps fulvus (Hablizl, 1783);Vautour fauve;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2862;Vultur fulvus;Vultur fulvus Hablizl, 1783;Vautour fauve;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
416705;Gyps melitensis;Gyps melitensis ;;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2850;Falco albicilla;Falco albicilla Linnaeus, 1758;Pygargue à queue blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2848;Haliaeetus albicilla;Haliaeetus albicilla (Linnaeus, 1758);Pygargue à queue blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
441967;Haliaeetus leucocephalus;Haliaeetus leucocephalus (Linnaeus, 1766);Pygargue à tête blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
432706;Haliaeetus leucogaster;Haliaeetus leucogaster (Gmelin, 1788);Aigle pêcheur à poitrine blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441968;Haliastur sphenurus;Haliastur sphenurus (Vieillot, 1818);Milan siffleur, Aigle siffleur;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441970;Harpagus bidentatus;Harpagus bidentatus (Latham, 1790);Harpage bidenté, Milan bidenté;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441971;Harpagus diodon;Harpagus diodon (Temminck, 1823);;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441972;Harpia harpyja;Harpia harpyja (Linnaeus, 1758);Harpie féroce;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441973;Harpyhaliaetus solitarius;Harpyhaliaetus solitarius (Tschudi, 1844);;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782561;Falco hamatus;Falco hamatus Temminck, 1821;Milan à long bec;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
459487;Helicolestes hamatus;Helicolestes hamatus (Temminck, 1821);Milan à long bec;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442327;Rostrhamus hamatus;Rostrhamus hamatus (Temminck, 1821);Milan à long bec;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2654;Aquila pennata;Aquila pennata (Gmelin, 1788);Aigle botté;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2653;Falco pennatus;Falco pennatus Gmelin, 1788;Aigle botté;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2651;Hieraaetus pennatus;Hieraaetus pennatus (Gmelin, 1788);Aigle botté;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
442010;Ictinia plumbea;Ictinia plumbea (Gmelin, 1788);Milan bleuâtre ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442030;Leptodon cayanensis;Leptodon cayanensis (Latham, 1790);Milan de Cayenne, Bec-en-croc de Cayenne;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442035;Leucopternis melanops;Leucopternis melanops (Latham, 1790);Buse à face noire ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2842;Falco migrans;Falco migrans Boddaert, 1783;Milan noir;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2843;Milvus korschun;Milvus korschun ;Milan noir;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2840;Milvus migrans;Milvus migrans (Boddaert, 1783);Milan noir;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
418713;Milvus migrans parasitus;Milvus migrans parasitus Grant & Mackworth-Praed, 1933;Milan noir (à bec jaune);Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
